"event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name","venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total"
"HEART BONES with Atari Ferrari","event","rZ7HnEZ1AaOMjP","2019-10-23","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvF","Dance/Electronic","KZazBEonSMnZfZ7vAte","Neo-Electro","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"NEKROMANTIX with Stellar Corpses and The Brainiax","event","rZ7HnEZ1AaOMPP","2019-11-06","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"MESSER CHUPS with The Delstroyers","event","rZ7HnEZ1AaOMr4","2019-10-23","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v66E","Latin Rock","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"MIGHTY DIAMONDS with special guests DUBTONIC KRU","event","rZ7HnEZ1AaOoog","2019-10-03","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAed","Reggae","KZazBEonSMnZfZ7vknl","Reggae","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"DEAD GHOSTS with Spoon Benders and Bad Shadows","event","rZ7HnEZ1AaOopA","2019-11-04","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"¡MAYDAY! Fire in the Sky Tour","event","rZ7HnEZ1AaOp_g","2019-10-18","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7vkvl","Hip-Hop/Rap","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"PEELANDER-Z with Gar Gar","event","rZ7HnEZ1AaOp84","2019-11-01","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv6","Country","KZazBEonSMnZfZ7vAad","Country Folk","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"THE ADICTS with Bridge City Sinners","event","rZ7HnEZ1AaOsk4","2019-10-27","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6kA","Fusion","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"Donna Jones & The Delegation","event","rZ7HnEZ1AaOt_A","2019-10-05","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeF","World","KZazBEonSMnZfZ7v6Jt","World","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"RAF MOD BAND Album Release Show with The Reverberations","event","rZ7HnEZ1AaOUbA","2019-11-30","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAee","R&B","KZazBEonSMnZfZ7vknE","Soul","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
