event_name,event_type,event_id,event_date_start_date,event_date_status,event_seatmap_url,event_place_name,event_place_id,event_place_postalcode,event_place_location_lat,event_place_location_long,event_classification_segment_id,event_classification_segment_name,event_classification_genre_id,event_classification_genre_name,event_classification_subgenre_id,event_classification_subgenre_name
Portland Trail Blazers vs. Detroit Pistons,event,vvG1HZ4YSkAK4O,2/23/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Dallas Mavericks,event,vvG1HZ4YSkZK4k,1/23/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Dallas Mavericks,event,vvG1HZ4YSk6N4s,3/19/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Cleveland Cavaliers,event,vvG1HZ4YSkFN4X,4/7/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Denver Nuggets,event,vvG1HZ4Yh1XN_V,10/8/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/95347s.gif,Veterans Memorial Coliseum,KovZpZAJ67kA,97208,45.533299,-122.667442,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Denver Nuggets,event,vvG1HZ4YSAwdfh,10/23/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Portland Trail Blazers vs. Denver Nuggets,event,vvG1HZ4YSAsdf9,4/9/20,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nE,Sports,KnvZfZ7vAde,Basketball,KZazBEonSMnZfZ7vFJA,NBA
Celine Dion: Courage World Tour,event,vvG1HZ4whElAkG,4/13/20,offsale,https://s1.ticketm.net/tmimages/venue/maps/sea/83629s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAev,Pop,KZazBEonSMnZfZ7vk1l,Adult Contemporary
JAM'N 107.5's Boo Bomb,event,vvG1HZ4n1lBKYz,10/19/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/71777s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vaa1,French Rap
Cher: Here We Go Again Tour,event,vvG1HZ4El--0iX,11/19/19,onsale,https://s1.ticketm.net/tmimages/venue/maps/sea/93227s.gif,Moda Center,KovZpa6MXe,97227,45.53118896,-122.6664581,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
