"venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total","event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4YSAsdf9","2020-04-09","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Celine Dion: Courage World Tour","event","vvG1HZ4whElAkG","2020-04-13","offsale","https://s1.ticketm.net/tmimages/venue/maps/sea/83629s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAev","Pop","KZazBEonSMnZfZ7vk1l","Adult Contemporary"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Celine Dion: Courage World Tour","event","vvG1HZ4whElAkG","2020-04-13","offsale","https://s1.ticketm.net/tmimages/venue/maps/sea/83629s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAev","Pop","KZazBEonSMnZfZ7vk1l","Adult Contemporary"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","JAM'N 107.5's Boo Bomb","event","vvG1HZ4n1lBKYz","2019-10-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/71777s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vaa1","French Rap"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","JAM'N 107.5's Boo Bomb","event","vvG1HZ4n1lBKYz","2019-10-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/71777s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vaa1","French Rap"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Cher: Here We Go Again Tour","event","vvG1HZ4El--0iX","2019-11-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/93227s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Cher: Here We Go Again Tour","event","vvG1HZ4El--0iX","2019-11-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/93227s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
"Veterans Memorial Coliseum","venue","KovZpZAJ67kA","97208","-122.667442","45.533299","24","TOBYMAC Hits Deep Tour","event","vvG1HZ4wC8EsEG","2020-03-01","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/74021s.gif","Veterans Memorial Coliseum","KovZpZAJ67kA","97208","45.533299","-122.667442","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAe7","Religious","KZazBEonSMnZfZ7v6ea","Gospel"
"Veterans Memorial Coliseum","venue","KovZpZAJ67kA","97208","-122.667442","45.533299","24","TOBYMAC Hits Deep Tour","event","vvG1HZ4wC8EsEG","2020-03-01","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/74021s.gif","Veterans Memorial Coliseum","KovZpZAJ67kA","97208","45.533299","-122.667442","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAe7","Religious","KZazBEonSMnZfZ7v6ea","Gospel"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Jonas Brothers: Happiness Begins Tour","event","vvG1HZ4tMeV0cf","2019-10-13","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/93956s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
